      ra          dec            significance
      358.144     -51.0118       3.2691803
      347.167     -59.6875       3.2690270
      356.216     -60.0667       3.2689764
      344.818     -59.7791       3.2672663
      358.902     -56.5949       3.2670331
      348.695     -52.9871       3.2606280
      345.371     -58.2873       3.2603672
      359.259     -52.9299       3.2595730
      358.027     -53.8821       3.2592893
      344.838     -57.5452       3.2591760
      357.584     -55.5137       3.2587264
      344.944     -58.4938       3.2579479
      354.342     -56.7971       3.2571957
      358.442     -54.9958       3.2551355
      350.143     -56.4549       3.2548916
      349.875     -55.9730       3.2541177
      356.413     -56.5882       3.2537067
      349.891     -51.9771       3.2533638
      352.622     -54.0729       3.2531240
      359.506     -54.2721       3.2530932
      351.023     -53.4542       3.2524886
      349.272     -53.6262       3.2522321
     0.228210     -58.5042       3.2500634
      357.542     -49.9604       3.2498927
      352.686     -53.0657       3.2486224
      350.082     -54.1396       3.2484672
      351.491     -57.9888       3.2483201
      354.997     -50.9950       3.2483137
      351.152     -50.2266       3.2478702
      346.250     -52.9396       3.2471273
      347.484     -54.2799       3.2457902
      345.810     -55.7304       3.2455697
      358.304     -58.0083       3.2449524
      350.200     -52.5042       3.2441437
      348.649     -54.0682       3.2437193
      355.107     -59.9812       3.2426641
      356.316     -57.0451       3.2426383
      349.670     -57.2320       3.2425451
      346.630     -53.4771       3.2420368
      353.268     -59.7208       3.2409623
      352.384     -57.1991       3.2391229
      357.265     -56.2563       3.2387161
      352.729     -56.2092       3.2381804
      355.695     -52.8134       3.2377918
      346.887     -50.5231       3.2376542
      356.336     -54.5963       3.2373676
      350.220     -51.2479       3.2365420
      358.353     -51.8451       3.2354934
      357.381     -50.1875       3.2347074
      345.329     -53.2797       3.2347071
      346.631     -51.0621       3.2340527
      354.781     -51.1386       3.2337289
      353.507     -53.1458       3.2332478
      347.137     -53.1263       3.2329881
      347.329     -50.3492       3.2323482
      345.971     -50.8696       3.2319825
      358.429     -55.2896       3.2301750
      345.559     -58.9069       3.2285275
      346.707     -53.1736       3.2276602
      347.527     -52.2528       3.2263629
      350.118     -60.3250       3.2258558
      359.710     -54.9312       3.2249455
      348.375     -59.9646       3.2244160
      356.451     -56.7083       3.2234488
      345.641     -56.8384       3.2225771
      354.047     -57.2050       3.2224779
      344.596     -54.7321       3.2221243
      348.921     -56.0513       3.2217624
      346.781     -52.2896       3.2216957
      350.130     -55.7507       3.2212272
      349.868     -55.8000       3.2208703
      349.496     -50.3829       3.2195079
      345.514     -55.2209       3.2181396
      349.905     -59.8271       3.2181165
      358.598     -58.8291       3.2175021
      358.713     -58.2433       3.2173538
      355.089     -54.2343       3.2166147
      359.898     -56.3923       3.2162771
      359.725     -50.3250       3.2153094
      357.283     -51.6688       3.2131631
      357.811     -57.6618       3.2121222
      357.676     -59.8500       3.2096691
      344.608     -56.3708       3.2092311
      353.126     -53.8062       3.2092195
      357.101     -58.2819       3.2084002
      358.270     -59.1292       3.2083333
      354.603     -52.2654       3.2076914
      356.173     -55.9542       3.2069056
      358.255     -50.8791       3.2044830
      349.643     -49.7896       3.2033808
      352.461     -50.8405       3.2031262
      345.876     -51.4924       3.2021351
      352.547     -49.7052       3.2019687
      355.113     -50.1292       3.2017653
      356.313     -52.7521       3.2013581
      354.823     -50.9438       3.2013195
      359.173     -52.5896       3.2009251
      352.168     -59.7507       3.2006831
      350.357     -51.7887       3.2004809
    0.0947571     -53.8835       3.1999564
      354.029     -55.9458       3.1997786
      353.887     -58.1833       3.1993504
      352.511     -50.2683       3.1982784
      358.048     -51.8250       3.1974461
      357.069     -57.5458       3.1973000
      358.031     -52.8345       3.1967492
      349.353     -58.8054       3.1967454
      354.031     -58.1071       3.1964839
      351.998     -54.9299       3.1961899
      344.379     -59.8361       3.1957738
      352.363     -57.6427       3.1950278
      348.581     -57.1803       3.1944578
      348.671     -53.2417       3.1940529
      346.382     -50.5901       3.1935508
      352.768     -53.2271       3.1933413
      350.686     -57.9458       3.1932111
      357.037     -51.1208       3.1921980
      350.640     -56.8708       3.1914530
      347.493     -54.9541       3.1898425
      354.858     -52.7571       3.1882586
      349.105     -58.4750       3.1880293
      358.428     -55.1308       3.1878612
      352.439     -51.8541       3.1875718
      347.577     -53.4833       3.1867838
      356.373     -57.3313       3.1862454
      348.877     -57.1946       3.1860683
      356.284     -51.6149       3.1854475
      355.196     -56.2118       3.1843345
      349.214     -57.3958       3.1838846
      355.868     -55.6542       3.1837106
      355.340     -50.0758       3.1837025
      355.967     -54.6021       3.1833181
      358.261     -56.5488       3.1827168
      359.173     -60.0809       3.1826940
      357.548     -57.4437       3.1822727
      347.511     -50.1042       3.1822143
      344.487     -56.1562       3.1818340
      344.427     -58.1625       3.1812427
      359.894     -52.9245       3.1810555
      352.293     -55.9035       3.1809435
      348.464     -58.2929       3.1801848
      352.074     -51.2416       3.1796472
      345.971     -54.3979       3.1795807
      352.392     -54.4958       3.1793201
      347.745     -59.8458       3.1789553
      354.684     -58.5288       3.1788104
      352.267     -54.4708       3.1763670
      354.320     -59.6062       3.1760843
      352.145     -55.2224       3.1755180
      349.961     -53.1719       3.1752942
      349.966     -52.5109       3.1752374
      359.825     -55.2500       3.1745300
      346.276     -59.9750       3.1731296
      358.382     -52.4688       3.1729944
      353.681     -57.4762       3.1726673
      352.681     -56.5584       3.1721318
      352.035     -51.1229       3.1709776
      358.838     -54.5854       3.1708109
      346.029     -58.0794       3.1706190
      344.908     -55.2882       3.1703403
     0.326385     -56.2079       3.1699212
      357.072     -53.7828       3.1695027
      352.736     -58.9440       3.1689188
      355.154     -60.2382       3.1687465
      347.362     -51.4167       3.1684210
      356.557     -56.3779       3.1676114
      356.933     -58.4333       3.1673753
      354.587     -52.9271       3.1659524
      358.719     -53.0125       3.1653042
      356.323     -57.2063       3.1649027
      350.450     -56.8368       3.1646779
      358.175     -59.9250       3.1639171
      356.420     -51.0929       3.1618385
      348.076     -55.4007       3.1615999
      359.241     -50.0359       3.1615334
      345.375     -50.5529       3.1608052
      352.142     -56.1351       3.1605856
      352.988     -49.9403       3.1602848
      350.877     -50.3871       3.1598997
      356.044     -58.3203       3.1577854
      350.706     -54.3580       3.1574044
      352.352     -53.9859       3.1572633
      352.290     -52.1000       3.1561229
      351.848     -54.7183       3.1560767
      345.304     -54.3479       3.1553917
      347.195     -55.3958       3.1551924
      349.664     -51.4979       3.1542523
      358.093     -51.9288       3.1538799
      345.821     -56.2521       3.1529160
      357.259     -58.2542       3.1524394
      354.159     -58.9292       3.1518764
      359.789     -54.8146       3.1515870
      349.495     -59.3146       3.1510406
      356.497     -57.8792       3.1501358
      350.020     -58.3917       3.1499081
      347.705     -52.4590       3.1469545
      356.509     -50.0652       3.1443276
      358.024     -55.9417       3.1437039
      354.633     -54.1958       3.1430266
      349.666     -57.6500       3.1421509
      348.309     -57.3229       3.1419163
      345.827     -60.2375       3.1417668
     0.270813     -55.4944       3.1404448
      351.813     -56.0583       3.1399202
      353.292     -57.9208       3.1382554
      350.249     -50.4962       3.1367960
      349.749     -54.8201       3.1363163
      358.104     -54.6507       3.1360583
      346.288     -53.1791       3.1360321
      356.896     -53.9408       3.1358278
      346.815     -52.0250       3.1350994
      353.720     -51.8041       3.1350570
      356.649     -50.5963       3.1341558
      351.551     -51.1404       3.1340423
      351.262     -53.4937       3.1340053
      345.367     -59.5896       3.1339149
      351.322     -58.4354       3.1334603
      356.532     -51.0791       3.1333995
      351.659     -52.4563       3.1333899
      357.579     -59.0179       3.1332629
      359.934     -49.8250       3.1329038
      358.540     -52.0000       3.1323769
      351.310     -54.7271       3.1313100
      350.100     -56.7362       3.1306732
      347.713     -58.3224       3.1305084
      350.783     -55.0563       3.1304936
      352.264     -51.2333       3.1297953
      348.268     -51.7297       3.1297903
      358.913     -52.4453       3.1295700
      349.414     -53.2646       3.1289358
      349.616     -53.0500       3.1288643
      350.427     -55.9879       3.1256685
      344.825     -56.9646       3.1256435
      354.740     -49.7208       3.1254573
      358.051     -54.9132       3.1247711
      356.229     -55.3901       3.1245735
     0.115204     -55.7066       3.1223066
      359.713     -56.6821       3.1222713
      350.408     -50.7062       3.1221948
      353.610     -58.6625       3.1220160
      355.779     -56.6386       3.1209915
      356.211     -53.0771       3.1208150
      352.865     -59.6882       3.1201203
      350.864     -53.2132       3.1192417
      352.312     -52.5083       3.1186540
      352.216     -50.3583       3.1167789
      358.554     -55.4979       3.1163745
      359.358     -55.6375       3.1156077
      350.486     -54.4604       3.1148877
      351.658     -50.3438       3.1131992
      347.531     -50.4458       3.1131463
      349.795     -54.0687       3.1130145
      358.826     -51.7836       3.1129210
      358.685     -57.2041       3.1123328
      346.763     -51.3951       3.1116920
      350.375     -52.1577       3.1113725
      353.439     -56.1500       3.1109445
      354.993     -56.8125       3.1109142
      351.332     -58.2500       3.1095586
      349.231     -53.0187       3.1087832
      348.520     -54.0304       3.1081352
      349.027     -56.4625       3.1076159
      350.605     -55.4313       3.1072254
      349.684     -52.2922       3.1071675
      345.089     -55.0035       3.1071188
      357.054     -50.9583       3.1067510
      352.252     -50.1840       3.1067469
      348.664     -60.2041       3.1063912
      346.523     -52.5432       3.1062195
      355.570     -50.1625       3.1060309
      356.689     -50.2438       3.1056619
      349.035     -59.2507       3.1054883
      355.907     -52.0580       3.1051891
      348.413     -52.7250       3.1041849
      354.909     -49.9562       3.1041348
      354.923     -54.4785       3.1025121
      357.288     -52.5504       3.1023693
      355.739     -50.2125       3.1018732
      344.593     -52.9833       3.1014671
      348.171     -51.0451       3.1004207
      350.786     -50.2542       3.0991037
      344.817     -53.0321       3.0987067
      346.692     -52.9007       3.0985305
      354.648     -50.4632       3.0983257
      358.127     -57.5687       3.0982642
      349.136     -49.8125       3.0968289
      358.640     -55.7687       3.0961840
      355.641     -55.4347       3.0955687
      349.977     -58.6500       3.0951829
      352.719     -58.1639       3.0945895
      359.014     -53.9312       3.0942070
      347.311     -52.7125       3.0939517
      355.630     -56.6051       3.0930474
      347.366     -53.0635       3.0929961
      351.081     -51.8375       3.0929806
      358.328     -60.2632       3.0927622
      354.643     -56.5583       3.0927157
      359.437     -54.4167       3.0925834
      345.751     -55.4409       3.0922890
      348.383     -52.9571       3.0918486
      349.726     -54.3340       3.0908444
